COSMIC_ID	DRUG_ID	LN_IC50	z_scores
905960	197	-2.11	-3.79935319633041
905960	208	-1.58	-3.45006531606279
905960	283	-1.28	-3.25235519515658
905960	1261	-0.48	-2.72512820607337
905960	1230	0.26	-2.2374432411714
905960	312	0.45	-2.11222683126413
905960	1264	0.83	-1.86179401144961
905960	155	0.96	-1.77611962572358
905960	1008	1.09	-1.69044523999756
905960	202	1.18	-1.6311322037257
905960	1046	1.56	-1.38069938391117
905960	1032	1.6	-1.35433803445701
905960	1010	1.85	-1.18957960036851
905960	1527	1.89	-1.16321825091435
905960	1192	2.06	-1.05118251573417
905960	1021	2.23	-0.939146780553983
905960	166	2.3	-0.893014419009202
905960	1175	2.32	-0.879833744282121
905960	1026	2.33	-0.873243406918581
905960	185	2.38	-0.84029172010088
905960	1058	2.42	-0.81393037064672
905960	1050	2.45	-0.794159358556099
905960	277	2.47	-0.780978683829019
905960	223	2.49	-0.767798009101938
905960	282	2.49	-0.767798009101938
905960	1066	2.54	-0.734846322284238
905960	1049	2.59	-0.701894635466537
905960	1019	2.62	-0.682123623375916
905960	1218	2.62	-0.682123623375916
905960	1013	2.68	-0.642581599194675
905960	1262	2.68	-0.642581599194675
905960	150	2.76	-0.589858900286354
905960	156	2.78	-0.576678225559274
905960	254	2.79	-0.570087888195733
905960	1495	2.81	-0.556907213468653
905960	295	2.84	-0.537136201378033
905960	1061	2.88	-0.510774851923872
905960	226	2.91	-0.491003839833251
905960	1005	2.93	-0.477823165106171
905960	298	2.94	-0.471232827742631
905960	1091	2.96	-0.458052153015551
905960	228	2.97	-0.45146181565201
905960	1028	3	-0.43169080356139
905960	1011	3.07	-0.385558442016609
905960	1268	3.07	-0.385558442016609
905960	225	3.18	-0.313064731017667
905960	1038	3.18	-0.313064731017667
905960	151	3.19	-0.306474393654127
905960	1023	3.22	-0.286703381563506
905960	171	3.24	-0.273522706836426
905960	186	3.24	-0.273522706836426
905960	1373	3.24	-0.273522706836426
905960	1017	3.34	-0.207619333201025
905960	203	3.36	-0.194438658473944
905960	346	3.38	-0.181257983746864
905960	175	3.39	-0.174667646383324
905960	1009	3.4	-0.168077309019784
905960	271	3.46	-0.128535284838543
905960	1029	3.48	-0.115354610111462
905960	1025	3.5	-0.102173935384382
905960	199	3.58	-0.0494512364760605
905960	292	3.64	-0.00990921229481946
905960	1020	3.64	-0.00990921229481946
905960	230	3.69	0.0230424745228812
905960	1018	3.7	0.0296328118864216
905960	328	3.71	0.0362231492499616
905960	154	3.72	0.0428134866135019
905960	1033	3.72	0.0428134866135019
905960	1199	3.83	0.115307197612444
905960	177	3.86	0.135078209703064
905960	1052	3.9	0.161439559157225
905960	1053	3.91	0.168029896520765
905960	329	3.94	0.187800908611385
905960	1241	3.96	0.200981583338466
905960	192	4	0.227342932792626
905960	1377	4	0.227342932792626
905960	211	4.08	0.280065631700948
905960	308	4.1	0.293246306428028
905960	1072	4.1	0.293246306428028
905960	1042	4.19	0.35255934269989
905960	255	4.25	0.39210136688113
905960	260	4.26	0.39869170424467
905960	301	4.26	0.39869170424467
905960	205	4.32	0.438233728425912
905960	206	4.32	0.438233728425912
905960	262	4.35	0.458004740516532
905960	249	4.36	0.464595077880072
905960	1067	4.37	0.471185415243613
905960	1069	4.37	0.471185415243613
905960	1047	4.41	0.497546764697773
905960	310	4.42	0.504137102061313
905960	333	4.45	0.523908114151934
905960	1236	4.45	0.523908114151934
905960	258	4.46	0.530498451515474
905960	330	4.48	0.543679126242555
905960	269	4.53	0.576630813060255
905960	1375	4.54	0.583221150423795
905960	300	4.57	0.602992162514416
905960	222	4.63	0.642534186695657
905960	1129	4.71	0.695256885603978
905960	176	4.73	0.708437560331059
905960	1030	4.73	0.708437560331059
905960	1039	4.77	0.734798909785219
905960	253	4.78	0.741389247148759
905960	1502	4.78	0.741389247148759
905960	179	4.79	0.747979584512299
905960	287	4.81	0.761160259239379
905960	261	4.82	0.76775059660292
905960	178	4.84	0.78093127133
905960	1043	4.89	0.813882958147701
905960	193	4.92	0.833653970238321
905960	291	4.96	0.860015319692482
905960	1036	4.96	0.860015319692482
905960	1371	4.96	0.860015319692482
905960	1194	4.98	0.873195994419563
905960	275	4.99	0.879786331783103
905960	286	5.03	0.906147681237263
905960	288	5.09	0.945689705418504
905960	341	5.11	0.958870380145585
905960	257	5.13	0.972051054872665
905960	326	5.13	0.972051054872665
905960	332	5.13	0.972051054872665
905960	263	5.16	0.991822066963285
905960	238	5.23	1.03795442850807
905960	265	5.26	1.05772544059869
905960	147	5.42	1.16317083841533
905960	309	5.52	1.22907421205073
905960	221	5.58	1.26861623623197
905960	231	5.63	1.30156792304967
905960	345	5.63	1.30156792304967
905960	279	5.71	1.35429062195799
905960	290	5.72	1.36088095932153
905960	304	5.75	1.38065197141216
905960	266	5.77	1.39383264613923
905960	229	5.78	1.40042298350278
905960	294	5.79	1.40701332086632
905960	303	5.79	1.40701332086632
905960	305	5.8	1.41360365822986
905960	1114	6	1.54541040550066
