DRUG_ID	Num_CL_per_Drug
1	323
1001	362
1003	98
1004	84
1005	483
1006	245
1007	226
1008	581
1009	711
1010	738
1011	524
1012	45
1013	752
1014	338
1015	343
1016	266
1017	779
1018	823
1019	580
1020	820
1021	682
1022	117
1023	736
1024	94
1025	711
1026	292
1028	809
1029	799
1030	760
1031	156
1032	692
1033	812
1036	711
1037	339
1038	776
1039	813
104	47
1042	774
1043	816
1046	635
1047	650
1049	767
1050	528
1052	748
1053	395
1054	413
1057	90
1058	287
1059	118
106	214
1060	423
1061	755
1062	626
1066	565
1067	884
1069	820
1072	868
1091	595
11	100
110	327
111	252
1114	790
1129	825
1133	444
1142	47
1143	337
1149	30
1158	445
1161	64
1164	303
1166	5
1170	553
1175	847
119	357
1192	529
1194	859
1199	899
1203	375
1218	807
1219	413
1230	892
1236	322
1239	125
1241	732
1242	64
1243	97
1248	177
1259	371
1261	729
1262	896
1264	891
1268	828
127	296
133	90
134	177
135	157
136	8
1371	803
1372	301
1373	637
1375	871
1377	685
1378	170
140	163
147	819
1494	159
1495	758
1498	499
150	849
1502	854
151	566
152	290
1526	398
1527	222
1529	309
153	491
154	812
155	646
156	552
157	29
158	620
159	224
163	193
164	271
165	49
166	836
167	82
17	361
170	27
171	719
172	147
173	72
175	616
176	417
177	458
178	334
179	412
180	53
182	14
184	281
185	626
186	716
190	110
192	828
193	894
194	101
196	241
197	807
199	636
200	17
201	138
202	842
203	387
204	139
205	899
206	883
207	309
208	445
211	766
219	200
221	718
222	515
223	261
224	409
225	386
226	589
228	448
229	435
230	817
231	755
235	208
238	740
245	219
249	678
252	324
253	849
254	867
255	863
256	154
257	516
258	852
260	412
261	583
262	660
263	864
265	698
266	898
268	33
269	575
271	862
272	87
273	91
274	68
275	545
276	71
277	876
279	715
281	838
282	516
283	206
286	854
287	419
288	811
29	230
290	767
291	332
292	487
293	602
294	532
295	555
298	832
299	153
3	193
30	269
300	538
301	427
302	228
303	300
304	697
305	374
306	351
308	62
309	702
310	520
312	882
32	213
326	690
328	175
329	717
330	639
331	215
332	877
333	865
34	379
341	891
344	328
345	871
346	127
35	178
37	363
38	326
41	108
45	112
5	190
51	225
52	371
53	73
54	301
55	224
56	253
59	337
6	382
60	100
62	190
63	254
64	238
71	237
83	49
86	76
87	85
88	75
89	308
9	125
91	389
94	333
