Cell_line	rho	pval	num__of_drugs
1240121	0.979998356397033	7.83727251817899e-96	136
1240122	0.980054198044119	3.55811244107304e-88	125
1240123	0.970248466565686	1.90857605844694e-92	149
1240124	0.967289846235867	7.60118954763402e-37	61
1240125	0.983050884573448	7.14854551259013e-131	177
1240127	0.964940310504539	1.82742583081697e-81	139
1240128	0.95446564467774	4.59149070290712e-88	166
1240129	0.972054822742827	6.64454040690668e-80	126
1240130	0.980233481073382	1.35487985671982e-61	87
1240131	0.974519567917151	4.68442555108658e-81	124
1240132	0.980614425987904	1.54557413576462e-104	147
1240134	0.960231681010356	6.87011219124181e-64	114
1240135	0.973122358018643	3.80480419071469e-68	106
1240136	0.962368057651798	1.15409452818152e-60	106
1240137	0.978233024878732	3.28855253295331e-17	25
1240138	0.970750965105603	2.7626266773798e-84	135
1240139	0.981143744062805	1.75191603408759e-72	101
1240140	0.975765095839743	6.93977548827954e-56	84
1240141	0.972610667302763	6.32450301008359e-111	174
1240142	0.977604483772746	6.77231867023936e-73	107
1240143	0.977294289292222	1.66244724272953e-91	135
1240144	0.987140043174308	2.76962213621523e-54	68
1240145	0.966726611011169	4.77273980428419e-58	97
1240146	0.984574987266714	7.0350683318898e-108	142
1240147	0.977073286356312	3.98556643906937e-81	120
1240149	0.981106276109323	7.15655676406476e-74	103
1240150	0.976721329202077	1.74355779608663e-95	142
1240151	0.948487595978799	3.14285896495736e-54	107
1240153	0.971867448748853	2.7997986381545e-70	111
1240154	0.977900336046311	5.17740568201875e-80	117
1240155	0.970133234380841	4.93383720382148e-46	74
1240156	0.973465735840808	1.45108678943533e-82	128
1240157	0.97802000537824	6.81211935048418e-98	143
1240158	0.972095149799383	2.93533099934225e-74	117
1240159	0.983286899422999	2.25748223677829e-91	123
1240160	0.986302680203914	4.70943492407915e-102	130
1240161	0.974345858902897	1.39082072166354e-53	82
1240162	0.976340311283427	5.36747319695411e-85	127
1240166	0.979852515957731	3.86309881928109e-106	151
1240167	0.97090267748228	7.85411664851937e-79	126
1240168	0.978510569723548	6.94912064373331e-109	158
1240169	0.978079416539181	4.50381377189335e-102	149
1240170	0.976887531673219	9.91974024794762e-100	148
1240172	0.973786589687979	1.24858327481876e-90	140
1240173	0.98310273234835	6.5985025348233e-120	162
1240174	0.980360614318313	4.05308204160072e-92	130
1240178	0.971757991769768	3.12240850312763e-58	92
1240179	0.981386051010893	2.14680666506269e-109	152
1240181	0.963127037135411	2.00855694541018e-111	194
1240182	0.976288812144961	6.99121595849909e-137	205
1240183	0.981788761274347	6.10470540463779e-121	167
1240184	0.962473718423824	6.96137673394679e-58	101
1240185	0.975784634523878	1.79478599453384e-70	106
1240186	0.968821817296701	2.16347778797379e-76	125
1240187	0.980691080102966	2.12295330551497e-100	141
1240189	0.978430286233175	1.0196001242456e-95	139
1240190	0.971357778063116	4.1986242128147e-66	105
1240191	0.972410604368513	2.56599740649622e-59	93
1240192	0.981942407207487	1.40976354200358e-104	144
1240193	0.981664848419726	5.36932927425537e-107	148
1240196	0.979167056647314	1.07823846470769e-78	113
1240197	0.985081148968573	8.40880852373587e-93	121
1240198	0.964649925857096	2.23890803772117e-64	110
1240199	0.972115079702577	4.58481003950809e-90	142
1240200	0.97773864097287	4.19723447105054e-60	88
1240201	0.980491353120065	5.71176620323239e-81	114
1240202	0.967683159382701	1.19716894386974e-76	127
1240204	0.976136809426116	4.48127944796021e-94	141
1240205	0.975021828127613	7.57660512273387e-66	100
1240206	0.967606863484326	3.42792325445756e-65	108
1240207	0.977913869721738	1.79382354420005e-100	147
1240208	0.97351714487371	1.78035663830214e-68	106
1240209	0.978992199987942	5.02227377789284e-66	95
1240210	0.974700388525474	2.47950795908258e-92	141
1240212	0.979010947638251	3.94738783089484e-77	111
1240215	0.973403594406163	3.0408905617834e-63	98
1240216	0.97390602436402	2.88548251133814e-75	116
1240217	0.978638139610065	3.86579064615239e-49	71
1240218	0.973313363231268	8.07714951724222e-89	138
1240219	0.961820372703366	3.61889468250209e-63	111
1240220	0.974819670555015	7.19771093482344e-73	111
1240221	0.969517500540301	2.13835138215481e-87	142
1240222	0.975204221859937	2.45975333340486e-88	134
1240223	0.975126475888176	3.99676917005856e-75	114
1240226	0.979475374318623	7.28579517644524e-75	107
1247871	0.975356181170619	5.33366911241343e-49	74
1247873	0.982254073791008	1.81602547521172e-101	139
1287381	0.973243519525676	4.04082011681957e-63	98
1287706	0.979492313705236	5.08338852187184e-93	133
1290455	0.977576362084108	3.21607628549952e-93	137
1290722	0.979465843188591	1.18763022488846e-100	144
