ranger_index	ic50_pred
ranger_1007	-2.94081033333334
ranger_197	-2.385016
ranger_104	-2.058539
ranger_201	-1.740348
ranger_1494	-1.448314
ranger_140	-1.427719
ranger_1004	-1.320176
ranger_283	-0.932900333333332
ranger_208	-0.883739333333333
ranger_1016	-0.652441666666667
ranger_1003	-0.573515
ranger_1261	-0.417984333333333
ranger_1057	-0.222693666666667
ranger_1031	-0.101634666666667
ranger_3	0.079401
ranger_1060	0.100335666666667
ranger_1230	0.127344333333333
ranger_312	0.451269999999999
ranger_11	0.454522333333334
ranger_87	0.563537333333333
ranger_153	0.641555666666666
ranger_60	0.68465
ranger_53	0.821065000000001
ranger_1008	0.867555999999998
ranger_155	0.874899333333332
ranger_194	0.948046000000001
ranger_1372	1.064452
ranger_180	1.11998533333333
ranger_86	1.15911733333333
ranger_1264	1.227972
ranger_133	1.46513233333333
ranger_1059	1.52669666666667
ranger_1032	1.54651933333334
ranger_1010	1.57713
ranger_200	1.58066933333333
ranger_202	1.58104066666666
ranger_1022	1.58605466666667
ranger_1006	1.63174833333333
ranger_9	1.67250533333333
ranger_252	1.70631933333333
ranger_1529	1.73972566666667
ranger_1026	1.78562833333334
ranger_1046	1.82726266666666
ranger_1248	1.867367
ranger_51	1.8951
ranger_1527	1.93235166666666
ranger_166	2.07804433333333
ranger_1024	2.16132733333333
ranger_83	2.18396166666667
ranger_35	2.18738766666667
ranger_158	2.27362966666667
ranger_1050	2.30531866666667
ranger_1021	2.313717
ranger_1192	2.34453566666666
ranger_1498	2.365887
ranger_119	2.375631
ranger_32	2.38149
ranger_277	2.400781
ranger_38	2.40375033333333
ranger_135	2.406689
ranger_1058	2.42738466666667
ranger_1218	2.439374
ranger_1019	2.47702933333333
ranger_163	2.490199
ranger_1526	2.50000833333333
ranger_184	2.501911
ranger_185	2.539163
ranger_1	2.55129966666667
ranger_282	2.55761566666667
ranger_45	2.57203
ranger_52	2.58160933333333
ranger_159	2.582415
ranger_1049	2.59867033333333
ranger_1262	2.60036966666667
ranger_1037	2.600541
ranger_1149	2.637751
ranger_1013	2.647691
ranger_1054	2.651966
ranger_1175	2.66717633333333
ranger_1011	2.67690533333333
ranger_29	2.67984833333334
ranger_254	2.70936499999999
ranger_127	2.71298466666667
ranger_150	2.71657466666667
ranger_1066	2.71671533333333
ranger_1038	2.789022
ranger_30	2.789482
ranger_37	2.80070666666667
ranger_156	2.80871766666666
ranger_223	2.83919266666667
ranger_1014	2.85146866666667
ranger_1091	2.877801
ranger_346	2.891941
ranger_171	2.89983133333333
ranger_226	2.915917
ranger_1023	2.92734033333334
ranger_64	2.968993
ranger_1005	3.00785533333334
ranger_1028	3.02298233333334
ranger_1495	3.06506633333333
ranger_157	3.08219733333334
