DRUG_ID	ranger_index	r2_scores	Num_CL_per_Drug
182	ranger_182	0.739416898604348	14
136	ranger_136	0.718594383026963	8
170	ranger_170	0.688896442668899	27
200	ranger_200	0.682733740436776	17
1149	ranger_1149	0.670077958037197	30
268	ranger_268	0.622635563828916	33
157	ranger_157	0.605994999502587	29
1012	ranger_1012	0.595019468452467	45
274	ranger_274	0.553690588376558	68
165	ranger_165	0.54538913388387	49
180	ranger_180	0.537588613147506	53
308	ranger_308	0.505403314832031	62
276	ranger_276	0.491366124045247	71
104	ranger_104	0.486060500788791	47
1161	ranger_1161	0.458199864208012	64
1057	ranger_1057	0.458150555874539	90
272	ranger_272	0.441778906030017	87
1242	ranger_1242	0.43837967245302	64
346	ranger_346	0.435705137049188	127
1003	ranger_1003	0.434185852319304	98
53	ranger_53	0.433285035692978	73
173	ranger_173	0.420804040217636	72
1004	ranger_1004	0.415370754920459	84
83	ranger_83	0.40441023375069	49
333	ranger_333	0.39941109280562	865
86	ranger_86	0.399000648819641	76
87	ranger_87	0.376524026426198	85
167	ranger_167	0.373611823046474	82
1142	ranger_1142	0.372266998306249	47
11	ranger_11	0.37131575499904	100
190	ranger_190	0.368400302268117	110
45	ranger_45	0.36750243038774	112
88	ranger_88	0.36619988856386	75
1024	ranger_1024	0.362865093233215	94
273	ranger_273	0.35708800958747	91
1239	ranger_1239	0.35664501205911	125
1243	ranger_1243	0.351986328962455	97
133	ranger_133	0.343715049115831	90
254	ranger_254	0.343003827859747	867
9	ranger_9	0.339429977909955	125
172	ranger_172	0.336143028348071	147
345	ranger_345	0.332508354198629	871
1262	ranger_1262	0.322246677628852	896
253	ranger_253	0.321299485314138	849
258	ranger_258	0.320202862539622	852
230	ranger_230	0.315201335471952	817
1526	ranger_1526	0.30750130997116	398
204	ranger_204	0.307430974535411	139
286	ranger_286	0.3054020691668	854
266	ranger_266	0.301062595639253	898
332	ranger_332	0.29981937888623	877
135	ranger_135	0.299777985864189	157
331	ranger_331	0.299083198474587	215
235	ranger_235	0.293591956378356	208
312	ranger_312	0.293514970180107	882
41	ranger_41	0.290219949485321	108
1378	ranger_1378	0.289752342986838	170
1014	ranger_1014	0.288037062645416	338
1054	ranger_1054	0.28725551717332	413
1059	ranger_1059	0.287099016591618	118
60	ranger_60	0.284049584985675	100
1372	ranger_1372	0.283687369353281	301
291	ranger_291	0.281642189548894	332
256	ranger_256	0.278204373002316	154
1028	ranger_1028	0.27797541353574	809
140	ranger_140	0.275668715758048	163
341	ranger_341	0.2746087690842	891
298	ranger_298	0.273069467721985	832
328	ranger_328	0.27223762910963	175
1498	ranger_1498	0.271946954111836	499
206	ranger_206	0.271077279686802	883
290	ranger_290	0.270117708874696	767
211	ranger_211	0.269713974845237	766
55	ranger_55	0.267208693930891	224
271	ranger_271	0.266444772568156	862
1248	ranger_1248	0.265588520266586	177
231	ranger_231	0.263937819709695	755
205	ranger_205	0.263499938914995	899
1031	ranger_1031	0.26199881175471	156
1022	ranger_1022	0.261671870323548	117
1020	ranger_1020	0.260807364568636	820
17	ranger_17	0.255568668663321	361
194	ranger_194	0.253194238665491	101
224	ranger_224	0.251066490907093	409
151	ranger_151	0.25039110153378	566
1049	ranger_1049	0.249851542316421	767
29	ranger_29	0.249255266816011	230
3	ranger_3	0.248367979531507	193
1199	ranger_1199	0.24633119640672	899
1375	ranger_1375	0.245418308317943	871
252	ranger_252	0.245169125554252	324
150	ranger_150	0.24500907000047	849
1264	ranger_1264	0.243866317309281	891
