"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight
	"Autauga County, AL"	"01001"	17103.72	132583
	"Baldwin County, AL"	"01003"	17660.59	313378
	"Barbour County, AL"	"01005"	17315.13	168742
	"Bibb County, AL"	"01007"	16904.87	108477
	"Blount County, AL"	"01009"	16393.63	120530
	"Bullock County, AL"	"01011"	17296.02	120530
	"Butler County, AL"	"01013"	17323.69	144636
	"Calhoun County, AL"	"01015"	16447.09	120530
	"Chambers County, AL"	"01017"	16997.01	120530
	"Cherokee County, AL"	"01019"	16331.42	108477
	"Chilton County, AL"	"01021"	16961.72	132583
	"Choctaw County, AL"	"01023"	17429.24	204901
	"Clarke County, AL"	"01025"	17381.62	241060
	"Clay County, AL"	"01027"	16755.96	108477
	"Cleburne County, AL"	"01029"	16487.02	96424
	"Coffee County, AL"	"01031"	17386.38	132583
	"Colbert County, AL"	"01033"	16343.48	96424
	"Conecuh County, AL"	"01035"	17336.91	156689
	"Coosa County, AL"	"01037"	17027.04	144636
	"Covington County, AL"	"01039"	17381.30	204901
	"Crenshaw County, AL"	"01041"	17367.83	132583
	"Cullman County, AL"	"01043"	16360.99	156689
	"Dale County, AL"	"01045"	17374.22	108477
	"Dallas County, AL"	"01047"	17232.70	180795
	"DeKalb County, AL"	"01049"	16168.46	144636
	"Elmore County, AL"	"01051"	17118.28	120530
	"Escambia County, AL"	"01053"	17353.24	168742
	"Etowah County, AL"	"01055"	16365.36	108477
	"Fayette County, AL"	"01057"	16720.96	144636
	"Franklin County, AL"	"01059"	16320.33	120530
	"Geneva County, AL"	"01061"	17468.74	120530
	"Greene County, AL"	"01063"	17151.46	108477
	"Hale County, AL"	"01065"	17097.13	120530
	"Henry County, AL"	"01067"	17360.76	84371
	"Houston County, AL"	"01069"	17496.70	108477
	"Jackson County, AL"	"01071"	16063.19	216954
	"Jefferson County, AL"	"01073"	16607.77	216954
	"Lamar County, AL"	"01075"	16705.72	96424
	"Lauderdale County, AL"	"01077"	16249.01	132583
	"Lawrence County, AL"	"01079"	16302.02	144636
	"Lee County, AL"	"01081"	17024.69	120530
	"Limestone County, AL"	"01083"	16159.39	144636
	"Lowndes County, AL"	"01085"	17289.50	132583
	"Macon County, AL"	"01087"	17190.40	132583
	"Madison County, AL"	"01089"	16049.50	144636
	"Marengo County, AL"	"01091"	17316.70	180795
	"Marion County, AL"	"01093"	16458.18	192848
	"Marshall County, AL"	"01095"	16213.71	132583
	"Mobile County, AL"	"01097"	17732.05	192848
	"Monroe County, AL"	"01099"	17336.52	229007
	"Montgomery County, AL"	"01101"	17317.72	132583
	"Morgan County, AL"	"01103"	16261.05	108477
	"Perry County, AL"	"01105"	17096.14	156689
	"Pickens County, AL"	"01107"	16948.20	156689
	"Pike County, AL"	"01109"	17321.40	144636
	"Randolph County, AL"	"01111"	16784.26	108477
	"Russell County, AL"	"01113"	17215.15	108477
	"St. Clair County, AL"	"01115"	16537.45	120530
	"Shelby County, AL"	"01117"	16750.94	144636
	"Sumter County, AL"	"01119"	17228.52	180795
	"Talladega County, AL"	"01121"	16639.83	180795
	"Tallapoosa County, AL"	"01123"	17014.31	132583
	"Tuscaloosa County, AL"	"01125"	16859.87	277219
	"Walker County, AL"	"01127"	16598.78	144636
	"Washington County, AL"	"01129"	17461.07	241060
	"Wilcox County, AL"	"01131"	17309.28	144636
	"Winston County, AL"	"01133"	16462.53	108477
	"Apache County, AZ"	"04001"	18657.88	2386494
	"Cochise County, AZ"	"04003"	20240.65	1301724
	"Coconino County, AZ"	"04005"	18883.02	3700271
	"Gila County, AZ"	"04007"	19891.99	964240
	"Graham County, AZ"	"04009"	20165.50	855763
	"Greenlee County, AZ"	"04011"	19866.10	397749
	"La Paz County, AZ"	"04012"	20493.13	831657
	"Maricopa County, AZ"	"04013"	20428.94	1747685
	"Mohave County, AZ"	"04015"	19423.92	2567289
	"Navajo County, AZ"	"04017"	18856.02	1928480
	"Pima County, AZ"	"04019"	20460.15	1723579
	"Pinal County, AZ"	"04021"	20279.64	1084770
	"Santa Cruz County, AZ"	"04023"	20192.74	204901
	"Yavapai County, AZ"	"04025"	19754.84	1663314
	"Yuma County, AZ"	"04027"	20443.62	1024505
	"Arkansas County, AR"	"05001"	16795.99	241060
	"Ashley County, AR"	"05003"	16973.11	168742
	"Baxter County, AR"	"05005"	16232.29	120530
	"Benton County, AR"	"05007"	16196.16	156689
	"Boone County, AR"	"05009"	16162.88	108477
	"Bradley County, AR"	"05011"	16928.46	144636
	"Calhoun County, AR"	"05013"	16908.51	96424
	"Carroll County, AR"	"05015"	16149.25	156689
	"Chicot County, AR"	"05017"	17064.76	156689
	"Clark County, AR"	"05019"	16640.66	168742
	"Clay County, AR"	"05021"	16141.50	132583
	"Cleburne County, AR"	"05023"	16272.75	132583
	"Cleveland County, AR"	"05025"	16798.57	120530
	"Columbia County, AR"	"05027"	16994.31	156689
	"Conway County, AR"	"05029"	16303.80	108477
	"Craighead County, AR"	"05031"	16306.32	132583
	"Crawford County, AR"	"05033"	16320.97	120530
	"Crittenden County, AR"	"05035"	16413.53	144636
	"Cross County, AR"	"05037"	16482.93	144636
	"Dallas County, AR"	"05039"	16765.77	108477
	"Desha County, AR"	"05041"	16932.02	180795
	"Drew County, AR"	"05043"	16915.15	144636
