Demographic Data Report for United States by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2011-2015 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"United States",00000,66011.000000000,"N/A"
"Puerto Rico",72001,22976.000000000,"3,138"
"McCreary County, Kentucky",21147,24877.000000000,"3,137"
"Holmes County, Mississippi",28051,26059.000000000,"3,136"
"Issaquena County, Mississippi",28055,26250.000000000,"3,135"
"Jefferson County, Mississippi",28063,26492.000000000,"3,134"
"Brooks County, Texas",48047,26554.000000000,"3,133"
"Greene County, Alabama",01063,27021.000000000,"3,132"
"Shannon County, South Dakota",46113,27169.000000000,"3,131"
"Clay County, Kentucky",21051,27306.000000000,"3,130"
"Stewart County, Georgia",13259,27525.000000000,"3,129"
"East Carroll Parish, Louisiana",22035,28076.000000000,"3,128"
"Hudspeth County, Texas",48229,28202.000000000,"3,127"
"Clay County, Georgia",13061,29044.000000000,"3,126"
"Starr County, Texas",48427,29371.000000000,"3,125"
"Leflore County, Mississippi",28083,29399.000000000,"3,124"
"Humphreys County, Mississippi",28053,29712.000000000,"3,123"
"Claiborne County, Mississippi",28021,29958.000000000,"3,122"
"Bell County, Kentucky",21013,30113.000000000,"3,121"
"Perry County, Alabama",01105,30347.000000000,"3,120"
"Telfair County, Georgia",13271,30580.000000000,"3,119"
"Willacy County, Texas",48489,30675.000000000,"3,118"
"Wolfe County, Kentucky",21237,30761.000000000,"3,117"
"Jenkins County, Georgia",13165,31004.000000000,"3,116"
"Jefferson Davis County, Mississippi",28065,31295.000000000,"3,115"
"Buffalo County, South Dakota",46017,31458.000000000,"3,114"
"Sunflower County, Mississippi",28133,31573.000000000,"3,113"
"Todd County, South Dakota",46121,31649.000000000,"3,112"
"Phillips County, Arkansas",05107,31664.000000000,"3,111"
"Mora County, New Mexico",35033,31719.000000000,"3,110"
"Jackson County, Kentucky",21109,31781.000000000,"3,109"
"Madison Parish, Louisiana",22065,31810.000000000,"3,108"
"Hancock County, Georgia",13141,31926.000000000,"3,107"
"McDowell County, West Virginia",54047,31984.000000000,"3,106"
"Quitman County, Mississippi",28119,32500.000000000,"3,105"
"Conecuh County, Alabama",01035,32690.000000000,"3,104"
"Breathitt County, Kentucky",21025,32704.000000000,"3,103"
"Wilcox County, Alabama",01131,32727.000000000,"3,102"
