County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
United States,0,66011,N/A
Puerto Rico,72001,22976,"3,138"
"McCreary County, Kentucky",21147,24877,"3,137"
"Holmes County, Mississippi",28051,26059,"3,136"
"Issaquena County, Mississippi",28055,26250,"3,135"
"Jefferson County, Mississippi",28063,26492,"3,134"
"Brooks County, Texas",48047,26554,"3,133"
"Greene County, Alabama",1063,27021,"3,132"
"Shannon County, South Dakota",46113,27169,"3,131"
"Clay County, Kentucky",21051,27306,"3,130"
"Stewart County, Georgia",13259,27525,"3,129"
"East Carroll Parish, Louisiana",22035,28076,"3,128"
"Hudspeth County, Texas",48229,28202,"3,127"
"Clay County, Georgia",13061,29044,"3,126"
"Starr County, Texas",48427,29371,"3,125"
"Leflore County, Mississippi",28083,29399,"3,124"
"Humphreys County, Mississippi",28053,29712,"3,123"
"Claiborne County, Mississippi",28021,29958,"3,122"
"Bell County, Kentucky",21013,30113,"3,121"
"Perry County, Alabama",1105,30347,"3,120"
"Telfair County, Georgia",13271,30580,"3,119"
"Willacy County, Texas",48489,30675,"3,118"
"Wolfe County, Kentucky",21237,30761,"3,117"
"Jenkins County, Georgia",13165,31004,"3,116"
"Jefferson Davis County, Mississippi",28065,31295,"3,115"
"Buffalo County, South Dakota",46017,31458,"3,114"
"Sunflower County, Mississippi",28133,31573,"3,113"
"Todd County, South Dakota",46121,31649,"3,112"
"Phillips County, Arkansas",5107,31664,"3,111"
"Mora County, New Mexico",35033,31719,"3,110"
"Jackson County, Kentucky",21109,31781,"3,109"
"Madison Parish, Louisiana",22065,31810,"3,108"
"Hancock County, Georgia",13141,31926,"3,107"
"McDowell County, West Virginia",54047,31984,"3,106"
"Quitman County, Mississippi",28119,32500,"3,105"
"Conecuh County, Alabama",1035,32690,"3,104"
"Breathitt County, Kentucky",21025,32704,"3,103"
"Wilcox County, Alabama",1131,32727,"3,102"
"Wheeler County, Georgia",13309,32847,"3,101"
"Lee County, Kentucky",21129,32848,"3,100"
"Tunica County, Mississippi",28143,33206,"3,099"
"Calhoun County, Georgia",13037,33229,"3,098"
"Martin County, Kentucky",21159,33529,"3,097"
"Tensas Parish, Louisiana",22107,33621,"3,096"
"Knox County, Kentucky",21121,33642,"3,095"
"Hall County, Texas",48191,34071,"3,094"
"Dillon County, South Carolina",45033,34072,"3,093"
"Buena Vista City, Virginia",51530,34087,"3,092"
"Coahoma County, Mississippi",28027,34135,"3,091"
"Mellette County, South Dakota",46095,34259,"3,090"
"Zavala County, Texas",48507,34468,"3,089"
"Clinton County, Kentucky",21053,34526,"3,088"
"Mississippi County, Missouri",29133,34594,"3,087"
"Harlan County, Kentucky",21095,34648,"3,086"
"Chicot County, Arkansas",5017,34673,"3,085"
"Alexander County, Illinois",17003,34759,"3,084"
"Elliott County, Kentucky",21063,34781,"3,083"
"Madison County, Idaho",16065,34783,"3,082"
"Allendale County, South Carolina",45005,34885,"3,081"
"Randolph County, Georgia",13243,35188,"3,080"
"Luna County, New Mexico",35029,35245,"3,079"
"Ziebach County, South Dakota",46137,35250,"3,078"
"Candler County, Georgia",13043,35258,"3,077"
"Lee County, Arkansas",5077,35313,"3,076"
"Grundy County, Tennessee",47061,35316,"3,075"
"Taylor County, Georgia",13269,35375,"3,074"
"Hancock County, Tennessee",47067,35408,"3,073"
"Washington County, Mississippi",28151,35500,"3,072"
"Sumter County, Alabama",1119,35600,"3,071"
"Bolivar County, Mississippi",28011,35700,"3,070"
"McKinley County, New Mexico",35031,35868,"3,069"
"Adams County, Mississippi",28001,35907,"3,068"
"Chickasaw County, Mississippi",28017,36000,"3,067"
"Magoffin County, Kentucky",21153,36073,"3,066"
"Corson County, South Dakota",46031,36111,"3,065"
"Monroe County, Arkansas",5095,36136,"3,064"
"Tyrrell County, North Carolina",37177,36144,"3,063"
"Zapata County, Texas",48505,36153,"3,062"
"Ben Hill County, Georgia",13017,36250,"3,061"
"Cumberland County, Kentucky",21057,36313,"3,060"
"Wayne County, Kentucky",21231,36346,"3,059"
"Terrell County, Georgia",13273,36351,"3,058"
"Menominee County, Wisconsin",55078,36496,"3,057"
"Scott County, Mississippi",28123,36521,"3,056"
"Quitman County, Georgia",13239,36563,"3,055"
"Jefferson County, Georgia",13163,36599,"3,054"
"Lauderdale County, Tennessee",47097,36689,"3,053"
"Yazoo County, Mississippi",28163,36694,"3,052"
"Dallas County, Alabama",1047,36739,"3,051"
"Dooly County, Georgia",13093,36779,"3,050"
"Scotland County, North Carolina",37165,36870,"3,049"
"Clark County, Idaho",16033,36875,"3,048"
"Robeson County, North Carolina",37155,36903,"3,047"
"Cameron County, Texas",48061,36941,"3,046"
"Clay County, Tennessee",47027,36948,"3,045"
"Northampton County, North Carolina",37131,36998,"3,043"
"Pemiscot County, Missouri",29155,36998,"3,043"
"Morehouse Parish, Louisiana",22067,37171,"3,042"
"Sioux County, North Dakota",38085,37188,"3,041"
"Fentress County, Tennessee",47049,37198,"3,040"
"Desha County, Arkansas",5041,37218,"3,039"
"Taliaferro County, Georgia",13265,37222,"3,038"
"Scott County, Tennessee",47151,37285,"3,037"
"Maverick County, Texas",48323,37396,"3,036"
"Whitley County, Kentucky",21235,37412,"3,035"
"Wilkinson County, Mississippi",28157,37417,"3,034"
"St. Francis County, Arkansas",5123,37423,"3,033"
"Hidalgo County, Texas",48215,37529,"3,032"
"Dougherty County, Georgia",13095,37561,"3,031"
