County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)"	0	20.7	20.6	20.8	71035	rising	1.8	1	2.6
"Lexington City, Virginia(6,10)"	51678	85	48.7	137.1	4	stable	14.8	-32.8	96.3
"Beaver County, Utah(7)"	49001	80.8	52.4	119	5	*	*	*	*
"Summit County, Utah(7,8)"	49043	74.3	61	89.7	27	rising	7.6	5.1	10.2
"Nantucket County, Massachusetts(6,10)"	25019	65.3	45.7	90.8	7	stable	-16.3	-48.8	36.8
"Towns County, Georgia(7,8)"	13281	60.9	43.8	83.6	11	rising	6.9	2.6	11.4
"San Miguel County, Colorado(6,10)"	8113	59.3	32.1	99.3	4	*	*	*	*
"Pickens County, Georgia(7,8)"	13227	54.3	44.1	66.2	22	rising	8	2.8	13.5
"Forsyth County, Georgia(7,8)"	13117	53.4	48.5	58.6	95	rising	2.5	1.4	3.6
"Lumpkin County, Georgia(7,8)"	13187	52.8	41.4	66.4	16	rising	5.3	2.3	8.5
"Teton County, Wyoming(6,10)"	56039	51.5	38.2	67.9	11	stable	0.2	-45.1	83
"Dawson County, Georgia(7,8)"	13085	51.5	39.1	66.7	13	rising	7.2	0.5	14.4
"Poquoson City, Virginia(6,10)"	51735	51.2	35.3	72.1	7	stable	2	-18.2	27.2
"Blaine County, Idaho(6,10)"	16013	49.3	36.5	65.1	11	stable	-12.2	-53.3	65
"White County, Georgia(7)"	13311	49.3	39	61.6	18	*	*	*	*
"Grand Isle County, Vermont(6,10)"	50013	49	30.3	76.5	5	stable	-11.1	-26.5	7.4
"Cherokee County, Georgia(7,8)"	13057	48.7	44.5	53.3	106	rising	4.6	2.6	6.6
"Wasatch County, Utah(7)"	49051	48.7	36.3	64	11	*	*	*	*
"Marin County, California(7,8)"	6041	47.9	44.5	51.4	167	stable	1.3	-1.4	4
"Iron County, Utah(7,8)"	49021	46.7	37.4	57.6	18	rising	4.3	2	6.7
"San Juan County, Washington(7,8)"	53055	45.9	32.3	63.7	11	stable	1.7	-1.3	4.8
"Van Buren County, Iowa(7)"	19177	45.6	27	72.5	4	*	*	*	*
"Dukes County, Massachusetts(6,10)"	25007	44.9	33.1	60	11	stable	0.6	-12.2	15.2
"Sheridan County, Wyoming(6,10)"	56033	44.1	34.7	55.3	17	stable	2.7	-8.1	14.8
"Cape May County, New Jersey(7,8)"	34009	43.7	38.7	49.2	65	rising	3.9	2.6	5.1
"Taylor County, Kentucky(7,8)"	21217	43.6	33.5	56	13	rising	8.3	2.9	14
"San Luis Obispo County, California(7,8)"	6079	42.4	39.2	45.7	142	stable	-0.4	-4.7	4.1
"Jefferson County, Montana(6,10)"	30043	42	27.8	61.5	7	rising	30.1	10.1	53.6
"Hall County, Georgia(7,8)"	13139	41.9	37.8	46.3	77	rising	3.9	2.2	5.7
"Los Alamos County, New Mexico(7,8)"	35028	41.9	30.4	56.6	9	stable	1.6	-0.6	3.8
"Morgan County, Utah(7)"	49029	41.6	24.2	66.3	4	*	*	*	*
"Davis County, Utah(7,8)"	49011	41.4	37.9	45.1	107	rising	4.6	3.4	5.7
"Mitchell County, Iowa(7)"	19131	41.4	26.1	62.4	6	*	*	*	*
"Door County, Wisconsin(6,10)"	55029	41.3	32.3	52.3	18	stable	15.2	-8.1	44.3
"Tooele County, Utah(7,8)"	49045	41.3	32.9	51	18	rising	4.4	2.2	6.5
"Windsor County, Vermont(6,10)"	50027	41.3	34.8	48.7	32	stable	6.2	-20.6	42
"Plymouth County, Iowa(7)"	19149	40.9	31	53.1	12	*	*	*	*
"Iowa County, Iowa(7)"	19095	40.9	27.5	58.2	7	*	*	*	*
"Fulton County, Pennsylvania(6,10)"	42057	40.8	28.5	57	8	stable	15.8	-14.7	57.2
"Chaffee County, Colorado(6,10)"	8015	40.7	30.2	54.2	11	stable	4.8	-24	44.5
"Yates County, New York(6,10)"	36123	40.5	29.9	53.5	11	stable	-0.5	-20.8	25
"Dubuque County, Iowa(7,8)"	19061	40.3	34.8	46.4	41	rising	9.9	6.2	13.7
"Shasta County, California(7,8)"	6089	40.2	36.5	44.2	95	rising	4	2.2	5.8
"Moore County, North Carolina(6,10)"	37125	40.1	35.3	45.5	56	stable	8.7	-15.8	40.3
"Salt Lake County, Utah(7,8)"	49035	40	38.2	42	365	rising	5.6	4.6	6.6
"Dickinson County, Iowa(7)"	19059	40	28.1	55.5	9	*	*	*	*
"Lee County, Georgia(7,8)"	13177	39.9	29.3	53	10	rising	8.1	2.1	14.5
"Deschutes County, Oregon(6,10)"	41017	39.9	35.9	44.2	78	stable	1.2	-10.1	13.9
"Tuolumne County, California(7,8)"	6109	39.4	33.2	46.6	33	rising	4.9	2	8
