FIPS	Age-Adjusted Incidence Rate	Value (Dollars)	Avg Daily Sunlight (KJ/m²)	neighbor_ave_incedence	neighbor_min_incedence	neighbor_max_incedence	UV_ Wh/m²	neighbor_ave_uv	neighbor_min_uv	neighbor_max_uv
10001	26.1	64252	15809.41	29.0222222222222	17.1	43.7	4080.9	4068.01555555556	4035.98	4102.6
10003	27.5	81298	15335.57	27.675	18.6	34.2	4038.46	4028.82125	3973.11	4080.9
10005	38.4	63311	15936.01	30.9428571428571	19.4	43.7	4102.6	4099.99714285714	4060.54	4122.51
11001	8.8	85321	15265.36	12.3666666666667	6.7	18.8	4100.16	4098.67666666667	4068.84	4110.57
12001	26.5	65088	18028.29	24.675	19.4	37.6	4709.47	4707.1775	4659.13	4764.52
12003	14.6	58995	17777.25	23.85	13.6	37.6	4638.78	4645.8675	4606.89	4674.96
12005	19.8	57635	17953.44	17.76	8.1	26.7	4659.77	4657.24	4621.42	4685.75
12007	24.9	56406	17865.16	24.6166666666667	14.6	37.6	4674.96	4681.49666666667	4638.78	4725.21
12009	31.1	60408	20368.38	24.7333333333333	16.3	35.3	4807.11	4809.26833333333	4795.48	4821.67
12011	19.1	61809	19082.85	18.475	9	23	4819.89	4826.7225	4792.67	4858.43
12015	27.7	54478	19327.28	23.9666666666667	9	33.6	4858.79	4850.88166666667	4831.46	4864.73
12017	25.3	47829	18340.82	23.58	21.6	26.4	4792.52	4785.514	4747.2	4815.33
12019	24.7	66919	18033.74	23.0833333333333	14.6	33.9	4672.34	4673.87333333333	4635.3	4725.21
12021	23	66264	19369.97	20.58	9	28.9	4858.43	4850.168	4819.89	4874.27
12023	22.7	52048	17817.18	24.7166666666667	14.6	37.6	4659.13	4676.17333333333	4638.78	4709.47
12027	22.4	40129	18780.27	25.9333333333333	18.2	33.6	4852.06	4852.24166666667	4831.46	4864.73
12029	20.7	44338	19718.03	21.8	20.7	22.9	4723.49	4726.46666666667	4708.71	4747.2
12031	21	59580	18463.58	25.18	14.6	33.9	4635.3	4650.878	4611.32	4696.65
12033	19.8	57046	17640.27	23.225	16.1	30.1	4518.46	4524.08	4492.24	4550.74
12035	26	54729	18848	26.275	19.4	33.9	4757.24	4743.645	4696.65	4795.48
12037	17.9	48621	19847.26	19.0666666666667	16.3	23	4701.14	4694.99666666667	4685.75	4701.14
12039	8.6	44278	17673.29	11.06	8.1	16	4679.49	4674.968	4667.05	4686.03
12041	22.9	53348	17930.12	23.1	20.7	26.5	4708.71	4703.455	4659.13	4747.2
12045	16.3	49921	18811.22	18	16.3	19.8	4685.75	4682.22	4659.77	4701.14
12049	18.2	41440	18765.38	24.3833333333333	18.2	29.9	4847.94	4845.54166666667	4831.46	4858.47
12051	9	43810	18800.73	20.4625	9	27.7	4835.9	4827.30875	4781.92	4862.35
12053	26.4	48785	18367.57	25.35	22.8	26.9	4815.33	4811.505	4792.52	4830.17
12055	28.2	42321	18906.14	22.0285714285714	11.5	29.9	4831.46	4836.68571428571	4808.52	4858.79
12057	22.1	61262	18605.51	24.2166666666667	18.2	29.9	4846.96	4844.32166666667	4830.17	4858.47
12059	17.1	42534	17548.85	19.94	8.1	29.9	4642.31	4644.184	4621.42	4667.05
12061	35.3	58448	19272.5	22.56	11.5	35.3	4796.89	4803.9	4785.31	4821.67
12063	8.1	45222	17586.08	17.7857142857143	8.1	29.9	4667.05	4656.71571428571	4637.93	4679.49
12069	24.7	55913	18342.91	22.625	16.3	29.9	4808.19	4808.585	4764.52	4836.36
12071	22.9	57627	19210.16	20.65	9	27.7	4862.35	4853.8675	4835.9	4862.35
12073	16	70136	17718.28	14.88	8.6	23	4686.03	4679.186	4663.47	4698.1
12075	21.8	44586	18244.95	23.1333333333333	20.7	26.5	4747.2	4740.985	4708.71	4792.52
12081	25.5	61149	18746.69	25.2833333333333	18.2	33.6	4858.47	4851.08666666667	4836.36	4864.73
12083	21.6	48128	18094	23.4875	19.4	26.5	4764.52	4768.82375	4709.47	4808.19
12085	27.7	68847	19130.36	17.92	9	27.7	4781.92	4800.864	4781.92	4835.9
12087	28.9	70453	20491.34	25.95	23	28.9	4874.27	4866.35	4858.43	4874.27
12089	31.7	62014	18216.73	20.975	14.6	31.7	4611.32	4621.44	4600.36	4638.78
12091	29	66043	17665.04	24.12	16.1	29	4587.49	4578.392	4534.88	4621.42
12093	11.5	41717	18779.05	22.1444444444444	9	35.3	4808.52	4810.07777777778	4781.92	4836.36
12095	18	56447	18745.97	23.9571428571429	16.3	31.1	4819.39	4814.75285714286	4795.48	4836.36
12097	16.3	47952	18921.23	24.375	11.5	35.3	4821.67	4816.19875	4796.89	4836.36
